Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 18:02:33.707315 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 18:02:33.937370 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 18:02:33.950314 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 18:02:33.950314 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 18:02:34.144315 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 18:02:34.144315 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 18:02:35.175868 >> Game resumed!
(ENTRY #8) 2022-02-20 18:02:35.187342 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 18:02:36.197871 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 18:02:37.286887 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 18:02:38.482865 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 18:02:39.563773 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 18:02:40.610170 >> Cloud created! ID: #6
(ENTRY #14) 2022-02-20 18:02:41.647370 >> Cloud created! ID: #7
(ENTRY #15) 2022-02-20 18:02:41.648875 >> Cloud removed! ID: #7
(ENTRY #16) 2022-02-20 18:02:42.636030 >> Cloud removed! ID: #7
(ENTRY #17) 2022-02-20 18:02:42.708756 >> Cloud created! ID: #8
(ENTRY #18) 2022-02-20 18:02:42.734214 >> Cloud removed! ID: #8
(ENTRY #19) 2022-02-20 18:02:43.713381 >> Cloud created! ID: #9
(ENTRY #20) 2022-02-20 18:02:44.817722 >> Cloud removed! ID: #9
(ENTRY #21) 2022-02-20 18:02:44.855577 >> Cloud created! ID: #10
(ENTRY #22) 2022-02-20 18:02:45.817237 >> Cloud removed! ID: #10
(ENTRY #23) 2022-02-20 18:02:45.962739 >> Cloud created! ID: #11
(ENTRY #24) 2022-02-20 18:02:46.843621 >> Cloud removed! ID: #11
(ENTRY #25) 2022-02-20 18:02:46.987130 >> Cloud created! ID: #12
(ENTRY #26) 2022-02-20 18:02:48.065874 >> Cloud created! ID: #13
(ENTRY #27) 2022-02-20 18:02:49.275889 >> Cloud created! ID: #14
(ENTRY #28) 2022-02-20 18:02:49.976276 >> Cloud removed! ID: #14
(ENTRY #29) 2022-02-20 18:02:50.015886 >> Cloud removed! ID: #14
(ENTRY #30) 2022-02-20 18:02:50.298364 >> Cloud created! ID: #15
(ENTRY #31) 2022-02-20 18:02:51.192150 >> Cloud removed! ID: #15
(ENTRY #32) 2022-02-20 18:02:51.255148 >> Cloud removed! ID: #15
(ENTRY #33) 2022-02-20 18:02:51.454209 >> Cloud created! ID: #16
