Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 17:50:15.306867 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 17:50:15.531030 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 17:50:15.543366 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 17:50:15.543866 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 17:50:15.759365 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 17:50:15.759365 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 17:50:16.270113 >> Game resumed!
(ENTRY #8) 2022-02-20 17:50:16.329189 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 17:50:17.427210 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 17:50:18.449923 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 17:50:19.492907 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 17:50:20.555835 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 17:50:21.605547 >> Cloud created! ID: #6
(ENTRY #14) 2022-02-20 17:50:22.616857 >> Cloud created! ID: #7
(ENTRY #15) 2022-02-20 17:50:22.762373 >> Cloud removed! ID: #7
(ENTRY #16) 2022-02-20 17:50:23.648371 >> Cloud created! ID: #8
(ENTRY #17) 2022-02-20 17:50:23.876879 >> Cloud removed! ID: #8
(ENTRY #18) 2022-02-20 17:50:24.681885 >> Cloud created! ID: #9
(ENTRY #19) 2022-02-20 17:50:24.870501 >> Cloud removed! ID: #9
(ENTRY #20) 2022-02-20 17:50:25.713770 >> Cloud created! ID: #10
(ENTRY #21) 2022-02-20 17:50:26.724904 >> Cloud created! ID: #11
(ENTRY #22) 2022-02-20 17:50:26.901176 >> Cloud removed! ID: #11
(ENTRY #23) 2022-02-20 17:50:27.728120 >> Cloud created! ID: #12
(ENTRY #24) 2022-02-20 17:50:28.743891 >> Cloud created! ID: #13
(ENTRY #25) 2022-02-20 17:50:28.891641 >> Cloud removed! ID: #13
(ENTRY #26) 2022-02-20 17:50:29.867867 >> Cloud created! ID: #14
(ENTRY #27) 2022-02-20 17:50:30.919310 >> Cloud created! ID: #15
(ENTRY #28) 2022-02-20 17:50:31.926316 >> Cloud created! ID: #16
(ENTRY #29) 2022-02-20 17:50:32.097663 >> Cloud removed! ID: #16
(ENTRY #30) 2022-02-20 17:50:32.259400 >> Cloud removed! ID: #16
(ENTRY #31) 2022-02-20 17:50:32.928527 >> Cloud created! ID: #17
(ENTRY #32) 2022-02-20 17:50:33.940381 >> Cloud created! ID: #18
(ENTRY #33) 2022-02-20 17:50:34.074896 >> Cloud removed! ID: #18
(ENTRY #34) 2022-02-20 17:50:34.075902 >> Cloud removed! ID: #18
(ENTRY #35) 2022-02-20 17:50:34.296983 >> Cloud removed! ID: #18
(ENTRY #36) 2022-02-20 17:50:34.975878 >> Cloud created! ID: #19
(ENTRY #37) 2022-02-20 17:50:35.104366 >> Cloud removed! ID: #19
(ENTRY #38) 2022-02-20 17:50:35.314159 >> Cloud removed! ID: #19
(ENTRY #39) 2022-02-20 17:50:36.040872 >> Cloud created! ID: #20
(ENTRY #40) 2022-02-20 17:50:36.092508 >> Cloud removed! ID: #20
(ENTRY #41) 2022-02-20 17:50:36.291709 >> Cloud removed! ID: #20
(ENTRY #42) 2022-02-20 17:50:37.059370 >> Cloud created! ID: #21
(ENTRY #43) 2022-02-20 17:50:37.197278 >> Cloud removed! ID: #21
(ENTRY #44) 2022-02-20 17:50:38.081881 >> Cloud removed! ID: #21
(ENTRY #45) 2022-02-20 17:50:38.118553 >> Cloud created! ID: #22
(ENTRY #46) 2022-02-20 17:50:39.125541 >> Cloud created! ID: #23
(ENTRY #47) 2022-02-20 17:50:39.127040 >> Cloud removed! ID: #23
(ENTRY #48) 2022-02-20 17:50:39.154638 >> Cloud removed! ID: #23
(ENTRY #49) 2022-02-20 17:50:39.338192 >> Cloud removed! ID: #23
(ENTRY #50) 2022-02-20 17:50:40.133911 >> Cloud created! ID: #24
(ENTRY #51) 2022-02-20 17:50:40.252364 >> Cloud removed! ID: #24
(ENTRY #52) 2022-02-20 17:50:41.194871 >> Cloud created! ID: #25
(ENTRY #53) 2022-02-20 17:50:41.294502 >> Cloud removed! ID: #25
(ENTRY #54) 2022-02-20 17:50:42.226029 >> Cloud created! ID: #26
(ENTRY #55) 2022-02-20 17:50:42.349022 >> Cloud removed! ID: #26
(ENTRY #56) 2022-02-20 17:50:43.324555 >> Cloud created! ID: #27
(ENTRY #57) 2022-02-20 17:50:44.554863 >> Cloud created! ID: #28
(ENTRY #58) 2022-02-20 17:50:45.636879 >> Cloud created! ID: #29
(ENTRY #59) 2022-02-20 17:50:46.389574 >> Cloud removed! ID: #29
(ENTRY #60) 2022-02-20 17:50:46.713163 >> Cloud created! ID: #30
(ENTRY #61) 2022-02-20 17:50:47.414742 >> Cloud removed! ID: #30
(ENTRY #62) 2022-02-20 17:50:47.499871 >> Cloud removed! ID: #30
(ENTRY #63) 2022-02-20 17:50:47.782398 >> Cloud created! ID: #31
(ENTRY #64) 2022-02-20 17:50:48.788170 >> Cloud created! ID: #32
(ENTRY #65) 2022-02-20 17:50:49.889422 >> Cloud created! ID: #33
(ENTRY #66) 2022-02-20 17:50:50.865886 >> Cloud removed! ID: #33
(ENTRY #67) 2022-02-20 17:50:50.916990 >> Cloud removed! ID: #33
(ENTRY #68) 2022-02-20 17:50:51.052383 >> Cloud created! ID: #34
(ENTRY #69) 2022-02-20 17:50:51.730115 >> Cloud removed! ID: #34
(ENTRY #70) 2022-02-20 17:50:51.969623 >> Cloud removed! ID: #34
(ENTRY #71) 2022-02-20 17:50:52.217861 >> Cloud created! ID: #35
(ENTRY #72) 2022-02-20 17:50:53.349878 >> Cloud created! ID: #36
(ENTRY #73) 2022-02-20 17:50:54.170704 >> Cloud removed! ID: #36
(ENTRY #74) 2022-02-20 17:50:54.353498 >> Cloud created! ID: #37
(ENTRY #75) 2022-02-20 17:50:54.848373 >> Cloud removed! ID: #37
(ENTRY #76) 2022-02-20 17:50:55.153889 >> Cloud removed! ID: #37
(ENTRY #77) 2022-02-20 17:50:55.453369 >> Cloud created! ID: #38
(ENTRY #78) 2022-02-20 17:50:56.417680 >> Cloud removed! ID: #38
(ENTRY #79) 2022-02-20 17:50:56.457178 >> Cloud created! ID: #39
(ENTRY #80) 2022-02-20 17:50:57.391257 >> Cloud removed! ID: #39
(ENTRY #81) 2022-02-20 17:50:57.511720 >> Cloud removed! ID: #39
(ENTRY #82) 2022-02-20 17:50:57.523359 >> Cloud created! ID: #40
(ENTRY #83) 2022-02-20 17:50:58.520954 >> Cloud removed! ID: #40
(ENTRY #84) 2022-02-20 17:50:58.532967 >> Cloud created! ID: #41
(ENTRY #85) 2022-02-20 17:50:59.540356 >> Cloud created! ID: #42
(ENTRY #86) 2022-02-20 17:51:00.555221 >> Cloud created! ID: #43
(ENTRY #87) 2022-02-20 17:51:00.650378 >> Cloud removed! ID: #43
(ENTRY #88) 2022-02-20 17:51:01.617838 >> Cloud created! ID: #44
(ENTRY #89) 2022-02-20 17:51:01.690871 >> Cloud removed! ID: #44
(ENTRY #90) 2022-02-20 17:51:02.468486 >> Cloud removed! ID: #44
(ENTRY #91) 2022-02-20 17:51:02.660905 >> Cloud created! ID: #45
(ENTRY #92) 2022-02-20 17:51:03.681383 >> Cloud created! ID: #46
(ENTRY #93) 2022-02-20 17:51:03.785249 >> Cloud removed! ID: #46
(ENTRY #94) 2022-02-20 17:51:04.681391 >> Cloud created! ID: #47
(ENTRY #95) 2022-02-20 17:51:04.790704 >> Cloud removed! ID: #47
(ENTRY #96) 2022-02-20 17:51:05.735789 >> Cloud created! ID: #48
(ENTRY #97) 2022-02-20 17:51:05.772765 >> Cloud removed! ID: #48
(ENTRY #98) 2022-02-20 17:51:06.740342 >> Cloud created! ID: #49
(ENTRY #99) 2022-02-20 17:51:06.752847 >> Cloud removed! ID: #49
(ENTRY #100) 2022-02-20 17:51:06.802076 >> Cloud removed! ID: #49
(ENTRY #101) 2022-02-20 17:51:07.743294 >> Cloud created! ID: #50
(ENTRY #102) 2022-02-20 17:51:07.811125 >> Cloud removed! ID: #50
(ENTRY #103) 2022-02-20 17:51:08.834259 >> Cloud created! ID: #51
(ENTRY #104) 2022-02-20 17:51:09.917814 >> Cloud created! ID: #52
(ENTRY #105) 2022-02-20 17:51:09.944484 >> Cloud removed! ID: #52
(ENTRY #106) 2022-02-20 17:51:10.947372 >> Cloud removed! ID: #52
(ENTRY #107) 2022-02-20 17:51:10.984422 >> Cloud created! ID: #53
(ENTRY #108) 2022-02-20 17:51:12.000081 >> Cloud created! ID: #54
(ENTRY #109) 2022-02-20 17:51:13.073379 >> Cloud created! ID: #55
(ENTRY #110) 2022-02-20 17:51:14.155624 >> Cloud created! ID: #56
(ENTRY #111) 2022-02-20 17:51:14.250948 >> Cloud removed! ID: #56
(ENTRY #112) 2022-02-20 17:51:15.200870 >> Cloud created! ID: #57
(ENTRY #113) 2022-02-20 17:51:16.304379 >> Cloud removed! ID: #57
(ENTRY #114) 2022-02-20 17:51:16.316378 >> Cloud created! ID: #58
(ENTRY #115) 2022-02-20 17:51:17.325385 >> Cloud created! ID: #59
(ENTRY #116) 2022-02-20 17:51:17.374464 >> Cloud removed! ID: #59
(ENTRY #117) 2022-02-20 17:51:17.424871 >> Cloud removed! ID: #59
(ENTRY #118) 2022-02-20 17:51:17.437912 >> Cloud removed! ID: #59
