Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 17:44:03.357009 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 17:44:03.589666 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 17:44:03.601507 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 17:44:03.602007 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 17:44:03.811107 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 17:44:03.811107 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 17:44:05.145093 >> Game resumed!
(ENTRY #8) 2022-02-20 17:44:05.156877 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 17:44:06.276648 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 17:44:07.356935 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 17:44:08.411587 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 17:44:09.471935 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 17:44:10.491104 >> Cloud created! ID: #6
(ENTRY #14) 2022-02-20 17:44:11.638996 >> Cloud removed! ID: #6
(ENTRY #15) 2022-02-20 17:44:11.651302 >> Cloud created! ID: #7
(ENTRY #16) 2022-02-20 17:44:12.658370 >> Cloud created! ID: #8
(ENTRY #17) 2022-02-20 17:44:12.856214 >> Cloud removed! ID: #8
(ENTRY #18) 2022-02-20 17:44:13.679762 >> Cloud created! ID: #9
(ENTRY #19) 2022-02-20 17:44:13.960787 >> Cloud removed! ID: #9
(ENTRY #20) 2022-02-20 17:44:14.683332 >> Cloud created! ID: #10
(ENTRY #21) 2022-02-20 17:44:15.016044 >> Cloud removed! ID: #10
(ENTRY #22) 2022-02-20 17:44:15.688848 >> Cloud created! ID: #11
(ENTRY #23) 2022-02-20 17:44:16.042396 >> Cloud removed! ID: #11
(ENTRY #24) 2022-02-20 17:44:16.696792 >> Cloud created! ID: #12
(ENTRY #25) 2022-02-20 17:44:17.016375 >> Cloud removed! ID: #12
(ENTRY #26) 2022-02-20 17:44:17.056366 >> Cloud removed! ID: #12
(ENTRY #27) 2022-02-20 17:44:17.721125 >> Cloud created! ID: #13
(ENTRY #28) 2022-02-20 17:44:18.015451 >> Cloud removed! ID: #13
(ENTRY #29) 2022-02-20 17:44:18.735681 >> Cloud created! ID: #14
(ENTRY #30) 2022-02-20 17:44:19.016193 >> Cloud removed! ID: #14
(ENTRY #31) 2022-02-20 17:44:19.775340 >> Cloud created! ID: #15
(ENTRY #32) 2022-02-20 17:44:20.868658 >> Cloud created! ID: #16
(ENTRY #33) 2022-02-20 17:44:21.110350 >> Cloud removed! ID: #16
(ENTRY #34) 2022-02-20 17:44:21.870571 >> Cloud created! ID: #17
(ENTRY #35) 2022-02-20 17:44:22.271763 >> Cloud removed! ID: #17
(ENTRY #36) 2022-02-20 17:44:22.642859 >> Cloud removed! ID: #17
(ENTRY #37) 2022-02-20 17:44:22.909369 >> Cloud created! ID: #18
(ENTRY #38) 2022-02-20 17:44:23.176368 >> Cloud removed! ID: #18
(ENTRY #39) 2022-02-20 17:44:23.951844 >> Cloud created! ID: #19
(ENTRY #40) 2022-02-20 17:44:25.266226 >> Cloud removed! ID: #19
(ENTRY #41) 2022-02-20 17:44:25.290319 >> Cloud created! ID: #20
(ENTRY #42) 2022-02-20 17:44:26.313657 >> Cloud created! ID: #21
(ENTRY #43) 2022-02-20 17:44:27.232369 >> Cloud removed! ID: #21
(ENTRY #44) 2022-02-20 17:44:27.364454 >> Cloud created! ID: #22
(ENTRY #45) 2022-02-20 17:44:28.433805 >> Cloud created! ID: #23
(ENTRY #46) 2022-02-20 17:44:29.486672 >> Cloud created! ID: #24
(ENTRY #47) 2022-02-20 17:44:29.562731 >> Cloud removed! ID: #24
(ENTRY #48) 2022-02-20 17:44:30.508081 >> Cloud created! ID: #25
(ENTRY #49) 2022-02-20 17:44:30.727878 >> Cloud removed! ID: #25
(ENTRY #50) 2022-02-20 17:44:31.589362 >> Cloud removed! ID: #25
(ENTRY #51) 2022-02-20 17:44:31.808491 >> Cloud created! ID: #26
(ENTRY #52) 2022-02-20 17:44:32.610348 >> Cloud removed! ID: #26
(ENTRY #53) 2022-02-20 17:44:32.634375 >> Cloud removed! ID: #26
(ENTRY #54) 2022-02-20 17:44:32.658868 >> Cloud removed! ID: #26
(ENTRY #55) 2022-02-20 17:44:32.820258 >> Cloud created! ID: #27
(ENTRY #56) 2022-02-20 17:44:33.660546 >> Cloud removed! ID: #27
(ENTRY #57) 2022-02-20 17:44:33.864899 >> Cloud created! ID: #28
(ENTRY #58) 2022-02-20 17:44:34.626123 >> Cloud removed! ID: #28
(ENTRY #59) 2022-02-20 17:44:34.904378 >> Cloud created! ID: #29
(ENTRY #60) 2022-02-20 17:44:35.928378 >> Cloud created! ID: #30
(ENTRY #61) 2022-02-20 17:44:36.564298 >> Cloud removed! ID: #30
(ENTRY #62) 2022-02-20 17:44:36.980250 >> Cloud created! ID: #31
(ENTRY #63) 2022-02-20 17:44:37.957688 >> Cloud removed! ID: #31
(ENTRY #64) 2022-02-20 17:44:37.983817 >> Cloud created! ID: #32
(ENTRY #65) 2022-02-20 17:44:38.986037 >> Cloud created! ID: #33
(ENTRY #66) 2022-02-20 17:44:39.997410 >> Cloud created! ID: #34
(ENTRY #67) 2022-02-20 17:44:40.038412 >> Cloud removed! ID: #34
(ENTRY #68) 2022-02-20 17:44:41.009708 >> Cloud created! ID: #35
(ENTRY #69) 2022-02-20 17:44:41.127117 >> Cloud removed! ID: #35
(ENTRY #70) 2022-02-20 17:44:42.080859 >> Cloud created! ID: #36
(ENTRY #71) 2022-02-20 17:44:42.155359 >> Cloud removed! ID: #36
(ENTRY #72) 2022-02-20 17:44:42.984323 >> Cloud removed! ID: #36
(ENTRY #73) 2022-02-20 17:44:43.232871 >> Naval Warfare 2D Closed...
