Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-17 21:44:42.799582 >> Initialized Log handler...
(ENTRY #2) 2022-02-17 21:44:43.634179 >> Initialized Warship handler...
(ENTRY #3) 2022-02-17 21:44:43.648191 >> Initialized GUI handler...
(ENTRY #4) 2022-02-17 21:44:43.648191 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-17 21:44:43.809056 >> Created Sprite for Player!
(ENTRY #6) 2022-02-17 21:44:43.809056 >> Finished initalizingw!
(ENTRY #7) 2022-02-17 21:44:44.619026 >> Game resumed!
(ENTRY #8) 2022-02-17 21:44:44.631625 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-17 21:44:45.717067 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-17 21:44:46.787519 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-17 21:44:47.683650 >> Cloud removed! ID: #3
(ENTRY #12) 2022-02-17 21:44:47.829225 >> Cloud created! ID: #4
(ENTRY #13) 2022-02-17 21:44:48.751121 >> Cloud removed! ID: #4
(ENTRY #14) 2022-02-17 21:44:48.861169 >> Cloud created! ID: #5
(ENTRY #15) 2022-02-17 21:44:49.831118 >> Cloud removed! ID: #5
(ENTRY #16) 2022-02-17 21:44:49.904499 >> Cloud created! ID: #6
(ENTRY #17) 2022-02-17 21:44:50.877253 >> Cloud removed! ID: #6
(ENTRY #18) 2022-02-17 21:44:50.950686 >> Cloud created! ID: #7
(ENTRY #19) 2022-02-17 21:44:51.994311 >> Cloud created! ID: #8
(ENTRY #20) 2022-02-17 21:44:52.958772 >> Cloud removed! ID: #8
(ENTRY #21) 2022-02-17 21:44:53.092754 >> Cloud created! ID: #9
(ENTRY #22) 2022-02-17 21:44:54.159933 >> Cloud created! ID: #10
(ENTRY #23) 2022-02-17 21:44:55.045450 >> Cloud removed! ID: #10
(ENTRY #24) 2022-02-17 21:44:55.239929 >> Cloud created! ID: #11
(ENTRY #25) 2022-02-17 21:44:56.263584 >> Cloud removed! ID: #11
(ENTRY #26) 2022-02-17 21:44:56.394925 >> Cloud created! ID: #12
(ENTRY #27) 2022-02-17 21:44:57.403563 >> Cloud created! ID: #13
(ENTRY #28) 2022-02-17 21:44:58.457923 >> Cloud removed! ID: #13
(ENTRY #29) 2022-02-17 21:44:58.471925 >> Cloud created! ID: #14
(ENTRY #30) 2022-02-17 21:44:58.471925 >> Cloud removed! ID: #14
(ENTRY #31) 2022-02-17 21:44:59.521454 >> Cloud created! ID: #15
(ENTRY #32) 2022-02-17 21:45:00.565177 >> Cloud created! ID: #16
(ENTRY #33) 2022-02-17 21:45:01.528594 >> Cloud removed! ID: #16
(ENTRY #34) 2022-02-17 21:45:01.602218 >> Cloud created! ID: #17
(ENTRY #35) 2022-02-17 21:45:02.646468 >> Cloud created! ID: #18
(ENTRY #36) 2022-02-17 21:45:03.478081 >> Cloud removed! ID: #18
(ENTRY #37) 2022-02-17 21:45:03.627689 >> Naval Warfare 2D Closed...
