Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-22 12:51:39.547590 >> Initialized Log handler...
(ENTRY #2) 2022-02-22 12:51:40.572121 >> Initialized Warship handler...
(ENTRY #3) 2022-02-22 12:51:40.604120 >> Initialized GUI handler...
(ENTRY #4) 2022-02-22 12:51:40.607121 >> Initialized Projectile handler...
(ENTRY #5) 2022-02-22 12:51:40.607121 >> Starting Naval Warfare 2D...
(ENTRY #6) 2022-02-22 12:51:40.916125 >> Created Sprite for Player!
(ENTRY #7) 2022-02-22 12:51:40.916125 >> Finished initalizingw!
(ENTRY #8) 2022-02-22 12:51:41.522710 >> Game resumed!
(ENTRY #9) 2022-02-22 12:51:41.534731 >> Cloud created! ID: #1
(ENTRY #10) 2022-02-22 12:51:42.042374 >> Projectile created! ID: #1
(ENTRY #11) 2022-02-22 12:51:42.572438 >> Cloud created! ID: #2
(ENTRY #12) 2022-02-22 12:51:42.614292 >> Projectile created! ID: #2
(ENTRY #13) 2022-02-22 12:51:43.410988 >> Projectile created! ID: #3
(ENTRY #14) 2022-02-22 12:51:43.586500 >> Cloud created! ID: #3
(ENTRY #15) 2022-02-22 12:51:43.910720 >> Projectile created! ID: #4
(ENTRY #16) 2022-02-22 12:51:44.384132 >> Projectile created! ID: #5
(ENTRY #17) 2022-02-22 12:51:44.628277 >> Cloud created! ID: #4
(ENTRY #18) 2022-02-22 12:51:44.784732 >> Projectile created! ID: #6
(ENTRY #19) 2022-02-22 12:51:45.213319 >> Projectile created! ID: #7
(ENTRY #20) 2022-02-22 12:51:45.652207 >> Cloud created! ID: #5
(ENTRY #21) 2022-02-22 12:51:45.751997 >> Projectile created! ID: #8
(ENTRY #22) 2022-02-22 12:51:46.126264 >> Cloud removed! ID: #5
(ENTRY #23) 2022-02-22 12:51:46.536271 >> Projectile created! ID: #9
(ENTRY #24) 2022-02-22 12:51:46.882286 >> Cloud created! ID: #6
(ENTRY #25) 2022-02-22 12:51:46.911436 >> Projectile created! ID: #10
(ENTRY #26) 2022-02-22 12:51:47.333212 >> Projectile created! ID: #11
