Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 18:13:55.918875 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 18:13:56.148803 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 18:13:56.160653 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 18:13:56.161153 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 18:13:56.384154 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 18:13:56.384154 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 18:13:56.805663 >> Game resumed!
(ENTRY #8) 2022-02-20 18:13:56.817664 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 18:13:57.909871 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 18:13:58.993842 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 18:13:59.998382 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 18:14:01.114374 >> Cloud removed! ID: #4
(ENTRY #13) 2022-02-20 18:14:01.152509 >> Cloud created! ID: #5
(ENTRY #14) 2022-02-20 18:14:02.203619 >> Cloud removed! ID: #5
(ENTRY #15) 2022-02-20 18:14:02.251761 >> Cloud created! ID: #6
(ENTRY #16) 2022-02-20 18:14:03.331108 >> Cloud created! ID: #7
(ENTRY #17) 2022-02-20 18:14:04.362657 >> Cloud created! ID: #8
(ENTRY #18) 2022-02-20 18:14:05.363772 >> Cloud created! ID: #9
(ENTRY #19) 2022-02-20 18:14:06.337884 >> Cloud removed! ID: #9
(ENTRY #20) 2022-02-20 18:14:06.450633 >> Cloud created! ID: #10
(ENTRY #21) 2022-02-20 18:14:07.509156 >> Cloud created! ID: #11
(ENTRY #22) 2022-02-20 18:14:07.533166 >> Cloud removed! ID: #11
(ENTRY #23) 2022-02-20 18:14:08.472887 >> Cloud removed! ID: #11
(ENTRY #24) 2022-02-20 18:14:08.545665 >> Cloud created! ID: #12
(ENTRY #25) 2022-02-20 18:14:09.570060 >> Cloud created! ID: #13
(ENTRY #26) 2022-02-20 18:14:10.621970 >> Cloud created! ID: #14
(ENTRY #27) 2022-02-20 18:14:11.522725 >> Cloud removed! ID: #14
(ENTRY #28) 2022-02-20 18:14:11.535726 >> Cloud removed! ID: #14
(ENTRY #29) 2022-02-20 18:14:11.767876 >> Cloud created! ID: #15
(ENTRY #30) 2022-02-20 18:14:12.627103 >> Cloud removed! ID: #15
(ENTRY #31) 2022-02-20 18:14:12.889568 >> Cloud created! ID: #16
(ENTRY #32) 2022-02-20 18:14:13.698917 >> Cloud removed! ID: #16
(ENTRY #33) 2022-02-20 18:14:13.776751 >> Cloud removed! ID: #16
(ENTRY #34) 2022-02-20 18:14:14.011206 >> Cloud created! ID: #17
(ENTRY #35) 2022-02-20 18:14:14.859680 >> Cloud removed! ID: #17
(ENTRY #36) 2022-02-20 18:14:15.112532 >> Cloud created! ID: #18
(ENTRY #37) 2022-02-20 18:14:16.268504 >> Cloud created! ID: #19
(ENTRY #38) 2022-02-20 18:14:16.899867 >> Cloud removed! ID: #19
(ENTRY #39) 2022-02-20 18:14:16.973226 >> Cloud removed! ID: #19
(ENTRY #40) 2022-02-20 18:14:17.276628 >> Cloud created! ID: #20
(ENTRY #41) 2022-02-20 18:14:18.128367 >> Cloud removed! ID: #20
(ENTRY #42) 2022-02-20 18:14:18.285406 >> Cloud created! ID: #21
(ENTRY #43) 2022-02-20 18:14:19.164547 >> Cloud removed! ID: #21
(ENTRY #44) 2022-02-20 18:14:19.248380 >> Cloud removed! ID: #21
(ENTRY #45) 2022-02-20 18:14:19.320842 >> Cloud created! ID: #22
(ENTRY #46) 2022-02-20 18:14:20.189297 >> Cloud removed! ID: #22
(ENTRY #47) 2022-02-20 18:14:20.358316 >> Cloud created! ID: #23
(ENTRY #48) 2022-02-20 18:14:21.333519 >> Cloud removed! ID: #23
(ENTRY #49) 2022-02-20 18:14:21.657155 >> Cloud created! ID: #24
(ENTRY #50) 2022-02-20 18:14:22.017657 >> Cloud removed! ID: #24
(ENTRY #51) 2022-02-20 18:14:22.295103 >> Cloud removed! ID: #24
(ENTRY #52) 2022-02-20 18:14:22.871186 >> Cloud created! ID: #25
(ENTRY #53) 2022-02-20 18:14:23.327168 >> Cloud removed! ID: #25
