Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-22 12:50:39.585448 >> Initialized Log handler...
(ENTRY #2) 2022-02-22 12:50:41.477954 >> Initialized Warship handler...
(ENTRY #3) 2022-02-22 12:50:41.505949 >> Initialized GUI handler...
(ENTRY #4) 2022-02-22 12:50:41.520952 >> Initialized Projectile handler...
(ENTRY #5) 2022-02-22 12:50:41.520952 >> Starting Naval Warfare 2D...
(ENTRY #6) 2022-02-22 12:50:41.947951 >> Created Sprite for Player!
(ENTRY #7) 2022-02-22 12:50:41.947951 >> Finished initalizingw!
(ENTRY #8) 2022-02-22 12:50:42.541588 >> Game resumed!
(ENTRY #9) 2022-02-22 12:50:42.555602 >> Cloud created! ID: #1
(ENTRY #10) 2022-02-22 12:50:42.940464 >> Projectile created! ID: #1
(ENTRY #11) 2022-02-22 12:50:43.151466 >> Projectile created! ID: #2
(ENTRY #12) 2022-02-22 12:50:43.602465 >> Game resumed!
(ENTRY #13) 2022-02-22 12:50:43.693172 >> Cloud created! ID: #2
(ENTRY #14) 2022-02-22 12:50:44.039455 >> Projectile created! ID: #3
(ENTRY #15) 2022-02-22 12:50:44.439534 >> Projectile created! ID: #4
(ENTRY #16) 2022-02-22 12:50:44.788048 >> Cloud created! ID: #3
(ENTRY #17) 2022-02-22 12:50:44.872033 >> Projectile created! ID: #5
(ENTRY #18) 2022-02-22 12:50:45.702905 >> Projectile created! ID: #6
(ENTRY #19) 2022-02-22 12:50:45.851906 >> Cloud created! ID: #4
(ENTRY #20) 2022-02-22 12:50:46.277903 >> Projectile created! ID: #7
(ENTRY #21) 2022-02-22 12:50:46.861461 >> Cloud created! ID: #5
(ENTRY #22) 2022-02-22 12:50:47.879557 >> Cloud created! ID: #6
(ENTRY #23) 2022-02-22 12:50:48.261538 >> Cloud removed! ID: #6
(ENTRY #24) 2022-02-22 12:50:48.419564 >> Projectile created! ID: #8
(ENTRY #25) 2022-02-22 12:50:48.984561 >> Cloud created! ID: #7
(ENTRY #26) 2022-02-22 12:50:49.084562 >> Projectile created! ID: #9
(ENTRY #27) 2022-02-22 12:50:49.342563 >> Cloud removed! ID: #7
(ENTRY #28) 2022-02-22 12:50:49.464583 >> Cloud removed! ID: #7
(ENTRY #29) 2022-02-22 12:50:49.734059 >> Projectile created! ID: #10
(ENTRY #30) 2022-02-22 12:50:50.071105 >> Cloud created! ID: #8
(ENTRY #31) 2022-02-22 12:50:50.245102 >> Projectile created! ID: #11
(ENTRY #32) 2022-02-22 12:50:50.850723 >> Projectile created! ID: #12
