Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-22 08:15:59.485249 >> Initialized Log handler...
(ENTRY #2) 2022-02-22 08:16:00.443686 >> Initialized Warship handler...
(ENTRY #3) 2022-02-22 08:16:00.469682 >> Initialized GUI handler...
(ENTRY #4) 2022-02-22 08:16:00.471683 >> Initialized Projectile handler...
(ENTRY #5) 2022-02-22 08:16:00.471683 >> Starting Naval Warfare 2D...
(ENTRY #6) 2022-02-22 08:16:00.769706 >> Created Sprite for Player!
(ENTRY #7) 2022-02-22 08:16:00.769706 >> Finished initalizingw!
(ENTRY #8) 2022-02-22 08:16:01.275095 >> Game resumed!
(ENTRY #9) 2022-02-22 08:16:01.300097 >> Cloud created! ID: #1
(ENTRY #10) 2022-02-22 08:16:01.572328 >> Projectile created! ID: #1
(ENTRY #11) 2022-02-22 08:16:02.020730 >> Projectile created! ID: #2
(ENTRY #12) 2022-02-22 08:16:02.330004 >> Cloud created! ID: #2
(ENTRY #13) 2022-02-22 08:16:02.399669 >> Projectile created! ID: #3
(ENTRY #14) 2022-02-22 08:16:02.884242 >> Projectile created! ID: #4
(ENTRY #15) 2022-02-22 08:16:03.388583 >> Cloud created! ID: #3
(ENTRY #16) 2022-02-22 08:16:03.728027 >> Projectile created! ID: #5
(ENTRY #17) 2022-02-22 08:16:04.075193 >> Projectile created! ID: #6
(ENTRY #18) 2022-02-22 08:16:04.440119 >> Cloud created! ID: #4
(ENTRY #19) 2022-02-22 08:16:04.552897 >> Projectile created! ID: #7
(ENTRY #20) 2022-02-22 08:16:04.822409 >> Projectile created! ID: #8
(ENTRY #21) 2022-02-22 08:16:05.524866 >> Cloud created! ID: #5
(ENTRY #22) 2022-02-22 08:16:06.557288 >> Cloud created! ID: #6
(ENTRY #23) 2022-02-22 08:16:07.659451 >> Cloud created! ID: #7
(ENTRY #24) 2022-02-22 08:16:08.058362 >> Cloud removed! ID: #7
(ENTRY #25) 2022-02-22 08:16:08.756407 >> Cloud created! ID: #8
(ENTRY #26) 2022-02-22 08:16:09.107115 >> Cloud removed! ID: #8
(ENTRY #27) 2022-02-22 08:16:09.757087 >> Cloud created! ID: #9
(ENTRY #28) 2022-02-22 08:16:10.260902 >> Cloud removed! ID: #9
(ENTRY #29) 2022-02-22 08:16:10.780517 >> Cloud created! ID: #10
(ENTRY #30) 2022-02-22 08:16:11.318408 >> Cloud removed! ID: #10
(ENTRY #31) 2022-02-22 08:16:11.456727 >> Cloud removed! ID: #10
(ENTRY #32) 2022-02-22 08:16:11.798191 >> Cloud created! ID: #11
(ENTRY #33) 2022-02-22 08:16:12.686641 >> Cloud removed! ID: #11
(ENTRY #34) 2022-02-22 08:16:12.951390 >> Cloud created! ID: #12
(ENTRY #35) 2022-02-22 08:16:14.047618 >> Cloud created! ID: #13
