Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-18 22:35:33.295869 >> Initialized Log handler...
(ENTRY #2) 2022-02-18 22:35:33.547125 >> Initialized Warship handler...
(ENTRY #3) 2022-02-18 22:35:33.559123 >> Initialized GUI handler...
(ENTRY #4) 2022-02-18 22:35:33.559123 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-18 22:35:33.756848 >> Created Sprite for Player!
(ENTRY #6) 2022-02-18 22:35:33.756848 >> Finished initalizingw!
(ENTRY #7) 2022-02-18 22:35:36.347819 >> Game resumed!
(ENTRY #8) 2022-02-18 22:35:36.359316 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-18 22:35:37.364398 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-18 22:35:38.391109 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-18 22:35:39.480104 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-18 22:35:40.364416 >> Cloud removed! ID: #4
(ENTRY #13) 2022-02-18 22:35:40.579067 >> Cloud created! ID: #5
(ENTRY #14) 2022-02-18 22:35:41.353413 >> Cloud removed! ID: #5
(ENTRY #15) 2022-02-18 22:35:41.699544 >> Cloud created! ID: #6
(ENTRY #16) 2022-02-18 22:35:42.367964 >> Cloud removed! ID: #6
(ENTRY #17) 2022-02-18 22:35:42.750456 >> Cloud created! ID: #7
(ENTRY #18) 2022-02-18 22:35:43.455698 >> Cloud removed! ID: #7
(ENTRY #19) 2022-02-18 22:35:44.029970 >> Cloud created! ID: #8
(ENTRY #20) 2022-02-18 22:35:44.555604 >> Cloud removed! ID: #8
(ENTRY #21) 2022-02-18 22:35:45.058229 >> Cloud created! ID: #9
(ENTRY #22) 2022-02-18 22:35:46.074679 >> Cloud created! ID: #10
(ENTRY #23) 2022-02-18 22:35:47.150506 >> Cloud created! ID: #11
(ENTRY #24) 2022-02-18 22:35:48.224736 >> Cloud created! ID: #12
(ENTRY #25) 2022-02-18 22:35:49.300556 >> Cloud created! ID: #13
(ENTRY #26) 2022-02-18 22:35:49.993527 >> Cloud removed! ID: #13
(ENTRY #27) 2022-02-18 22:35:50.352519 >> Cloud created! ID: #14
(ENTRY #28) 2022-02-18 22:35:51.127534 >> Cloud removed! ID: #14
(ENTRY #29) 2022-02-18 22:35:51.366233 >> Cloud created! ID: #15
(ENTRY #30) 2022-02-18 22:35:52.204390 >> Cloud removed! ID: #15
(ENTRY #31) 2022-02-18 22:35:52.372928 >> Cloud created! ID: #16
(ENTRY #32) 2022-02-18 22:35:53.375571 >> Cloud created! ID: #17
(ENTRY #33) 2022-02-18 22:35:53.637380 >> Cloud removed! ID: #17
(ENTRY #34) 2022-02-18 22:35:54.330321 >> Cloud removed! ID: #17
(ENTRY #35) 2022-02-18 22:35:54.606249 >> Cloud created! ID: #18
