Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 17:56:54.624911 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 17:56:54.839411 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 17:56:54.851410 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 17:56:54.851410 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 17:56:55.044412 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 17:56:55.044412 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 17:56:55.674916 >> Game resumed!
(ENTRY #8) 2022-02-20 17:56:55.687416 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 17:56:56.826238 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 17:56:57.893884 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 17:56:58.902440 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 17:56:59.980439 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 17:57:00.997722 >> Cloud created! ID: #6
(ENTRY #14) 2022-02-20 17:57:01.915923 >> Cloud removed! ID: #6
(ENTRY #15) 2022-02-20 17:57:02.013601 >> Cloud removed! ID: #6
(ENTRY #16) 2022-02-20 17:57:02.025680 >> Cloud created! ID: #7
(ENTRY #17) 2022-02-20 17:57:03.015262 >> Cloud removed! ID: #7
(ENTRY #18) 2022-02-20 17:57:03.134210 >> Cloud created! ID: #8
(ENTRY #19) 2022-02-20 17:57:04.131931 >> Cloud removed! ID: #8
(ENTRY #20) 2022-02-20 17:57:04.182600 >> Cloud created! ID: #9
(ENTRY #21) 2022-02-20 17:57:05.148854 >> Cloud removed! ID: #9
(ENTRY #22) 2022-02-20 17:57:05.200880 >> Cloud created! ID: #10
(ENTRY #23) 2022-02-20 17:57:06.211377 >> Cloud created! ID: #11
(ENTRY #24) 2022-02-20 17:57:07.287734 >> Cloud created! ID: #12
(ENTRY #25) 2022-02-20 17:57:08.356275 >> Cloud removed! ID: #12
(ENTRY #26) 2022-02-20 17:57:08.392241 >> Cloud created! ID: #13
(ENTRY #27) 2022-02-20 17:57:09.268867 >> Cloud removed! ID: #13
(ENTRY #28) 2022-02-20 17:57:09.361383 >> Cloud removed! ID: #13
(ENTRY #29) 2022-02-20 17:57:09.389384 >> Cloud removed! ID: #13
(ENTRY #30) 2022-02-20 17:57:09.454359 >> Cloud created! ID: #14
(ENTRY #31) 2022-02-20 17:57:10.359371 >> Cloud removed! ID: #14
(ENTRY #32) 2022-02-20 17:57:10.475424 >> Cloud created! ID: #15
(ENTRY #33) 2022-02-20 17:57:11.493378 >> Cloud created! ID: #16
(ENTRY #34) 2022-02-20 17:57:12.495365 >> Cloud created! ID: #17
(ENTRY #35) 2022-02-20 17:57:13.597580 >> Cloud created! ID: #18
(ENTRY #36) 2022-02-20 17:57:13.693506 >> Cloud removed! ID: #18
(ENTRY #37) 2022-02-20 17:57:14.626370 >> Cloud created! ID: #19
(ENTRY #38) 2022-02-20 17:57:14.627371 >> Cloud removed! ID: #19
(ENTRY #39) 2022-02-20 17:57:14.729897 >> Cloud removed! ID: #19
(ENTRY #40) 2022-02-20 17:57:14.742369 >> Cloud removed! ID: #19
(ENTRY #41) 2022-02-20 17:57:15.722861 >> Cloud created! ID: #20
(ENTRY #42) 2022-02-20 17:57:15.749378 >> Cloud removed! ID: #20
(ENTRY #43) 2022-02-20 17:57:16.770308 >> Cloud removed! ID: #20
(ENTRY #44) 2022-02-20 17:57:16.782789 >> Cloud created! ID: #21
(ENTRY #45) 2022-02-20 17:57:17.923442 >> Cloud created! ID: #22
(ENTRY #46) 2022-02-20 17:57:18.919353 >> Cloud removed! ID: #22
(ENTRY #47) 2022-02-20 17:57:18.931044 >> Cloud created! ID: #23
(ENTRY #48) 2022-02-20 17:57:19.932734 >> Cloud created! ID: #24
(ENTRY #49) 2022-02-20 17:57:19.987797 >> Cloud removed! ID: #24
(ENTRY #50) 2022-02-20 17:57:20.980888 >> Cloud created! ID: #25
(ENTRY #51) 2022-02-20 17:57:21.989394 >> Cloud created! ID: #26
(ENTRY #52) 2022-02-20 17:57:22.094838 >> Cloud removed! ID: #26
(ENTRY #53) 2022-02-20 17:57:23.001939 >> Cloud created! ID: #27
(ENTRY #54) 2022-02-20 17:57:23.136534 >> Cloud removed! ID: #27
(ENTRY #55) 2022-02-20 17:57:23.136534 >> Cloud removed! ID: #27
(ENTRY #56) 2022-02-20 17:57:24.057389 >> Cloud created! ID: #28
(ENTRY #57) 2022-02-20 17:57:24.155662 >> Cloud removed! ID: #28
(ENTRY #58) 2022-02-20 17:57:24.253009 >> Cloud removed! ID: #28
(ENTRY #59) 2022-02-20 17:57:25.059930 >> Cloud created! ID: #29
(ENTRY #60) 2022-02-20 17:57:25.199163 >> Cloud removed! ID: #29
(ENTRY #61) 2022-02-20 17:57:26.092428 >> Cloud created! ID: #30
(ENTRY #62) 2022-02-20 17:57:26.203218 >> Cloud removed! ID: #30
(ENTRY #63) 2022-02-20 17:57:26.325975 >> Cloud removed! ID: #30
(ENTRY #64) 2022-02-20 17:57:27.179256 >> Cloud created! ID: #31
(ENTRY #65) 2022-02-20 17:57:28.202625 >> Cloud removed! ID: #31
(ENTRY #66) 2022-02-20 17:57:28.407859 >> Cloud created! ID: #32
(ENTRY #67) 2022-02-20 17:57:29.213373 >> Cloud removed! ID: #32
(ENTRY #68) 2022-02-20 17:57:29.263389 >> Cloud removed! ID: #32
(ENTRY #69) 2022-02-20 17:57:29.433488 >> Cloud created! ID: #33
(ENTRY #70) 2022-02-20 17:57:30.229865 >> Cloud removed! ID: #33
(ENTRY #71) 2022-02-20 17:57:30.568399 >> Cloud created! ID: #34
(ENTRY #72) 2022-02-20 17:57:31.312402 >> Cloud removed! ID: #34
(ENTRY #73) 2022-02-20 17:57:31.605482 >> Cloud created! ID: #35
(ENTRY #74) 2022-02-20 17:57:32.533665 >> Cloud removed! ID: #35
(ENTRY #75) 2022-02-20 17:57:32.641245 >> Cloud created! ID: #36
(ENTRY #76) 2022-02-20 17:57:33.519014 >> Cloud removed! ID: #36
(ENTRY #77) 2022-02-20 17:57:33.665877 >> Cloud created! ID: #37
(ENTRY #78) 2022-02-20 17:57:34.655381 >> Cloud removed! ID: #37
(ENTRY #79) 2022-02-20 17:57:34.740108 >> Cloud created! ID: #38
(ENTRY #80) 2022-02-20 17:57:35.760987 >> Cloud created! ID: #39
(ENTRY #81) 2022-02-20 17:57:36.885631 >> Cloud created! ID: #40
(ENTRY #82) 2022-02-20 17:57:37.867876 >> Cloud removed! ID: #40
(ENTRY #83) 2022-02-20 17:57:37.905364 >> Cloud created! ID: #41
(ENTRY #84) 2022-02-20 17:57:38.896898 >> Cloud removed! ID: #41
(ENTRY #85) 2022-02-20 17:57:38.961930 >> Cloud created! ID: #42
(ENTRY #86) 2022-02-20 17:57:39.986669 >> Cloud removed! ID: #42
(ENTRY #87) 2022-02-20 17:57:40.036905 >> Cloud created! ID: #43
(ENTRY #88) 2022-02-20 17:57:41.093380 >> Cloud created! ID: #44
(ENTRY #89) 2022-02-20 17:57:41.106380 >> Cloud removed! ID: #44
(ENTRY #90) 2022-02-20 17:57:42.125006 >> Cloud created! ID: #45
(ENTRY #91) 2022-02-20 17:57:43.131296 >> Cloud created! ID: #46
(ENTRY #92) 2022-02-20 17:57:43.144153 >> Cloud removed! ID: #46
(ENTRY #93) 2022-02-20 17:57:44.110539 >> Cloud removed! ID: #46
(ENTRY #94) 2022-02-20 17:57:44.159574 >> Cloud removed! ID: #46
(ENTRY #95) 2022-02-20 17:57:44.171629 >> Cloud created! ID: #47
(ENTRY #96) 2022-02-20 17:57:45.227878 >> Cloud created! ID: #48
(ENTRY #97) 2022-02-20 17:57:46.220170 >> Cloud removed! ID: #48
(ENTRY #98) 2022-02-20 17:57:46.221171 >> Cloud removed! ID: #48
(ENTRY #99) 2022-02-20 17:57:46.256505 >> Cloud created! ID: #49
(ENTRY #100) 2022-02-20 17:57:47.213859 >> Cloud removed! ID: #49
(ENTRY #101) 2022-02-20 17:57:47.238907 >> Cloud removed! ID: #49
(ENTRY #102) 2022-02-20 17:57:47.348158 >> Cloud created! ID: #50
(ENTRY #103) 2022-02-20 17:57:48.428377 >> Cloud created! ID: #51
(ENTRY #104) 2022-02-20 17:57:49.233862 >> Cloud removed! ID: #51
(ENTRY #105) 2022-02-20 17:57:49.433210 >> Cloud created! ID: #52
(ENTRY #106) 2022-02-20 17:57:50.265686 >> Cloud removed! ID: #52
(ENTRY #107) 2022-02-20 17:57:50.464678 >> Cloud created! ID: #53
(ENTRY #108) 2022-02-20 17:57:51.335223 >> Cloud removed! ID: #53
(ENTRY #109) 2022-02-20 17:57:51.555210 >> Cloud created! ID: #54
(ENTRY #110) 2022-02-20 17:57:52.598631 >> Cloud created! ID: #55
(ENTRY #111) 2022-02-20 17:57:53.520990 >> Cloud removed! ID: #55
(ENTRY #112) 2022-02-20 17:57:53.618421 >> Cloud created! ID: #56
(ENTRY #113) 2022-02-20 17:57:54.628691 >> Cloud created! ID: #57
(ENTRY #114) 2022-02-20 17:57:55.636100 >> Cloud created! ID: #58
(ENTRY #115) 2022-02-20 17:57:55.639600 >> Cloud removed! ID: #58
(ENTRY #116) 2022-02-20 17:57:56.680590 >> Cloud created! ID: #59
(ENTRY #117) 2022-02-20 17:57:56.682593 >> Cloud removed! ID: #59
(ENTRY #118) 2022-02-20 17:57:56.785356 >> Cloud removed! ID: #59
(ENTRY #119) 2022-02-20 17:57:57.746171 >> Cloud created! ID: #60
(ENTRY #120) 2022-02-20 17:57:57.773374 >> Cloud removed! ID: #60
(ENTRY #121) 2022-02-20 17:57:58.611893 >> Cloud removed! ID: #60
(ENTRY #122) 2022-02-20 17:57:58.763883 >> Cloud removed! ID: #60
(ENTRY #123) 2022-02-20 17:57:58.775872 >> Cloud created! ID: #61
(ENTRY #124) 2022-02-20 17:57:59.836489 >> Cloud removed! ID: #61
(ENTRY #125) 2022-02-20 17:58:00.082705 >> Cloud created! ID: #62
(ENTRY #126) 2022-02-20 17:58:00.856653 >> Cloud removed! ID: #62
(ENTRY #127) 2022-02-20 17:58:00.869652 >> Cloud removed! ID: #62
(ENTRY #128) 2022-02-20 17:58:01.110259 >> Cloud created! ID: #63
(ENTRY #129) 2022-02-20 17:58:01.883872 >> Cloud removed! ID: #63
(ENTRY #130) 2022-02-20 17:58:01.938526 >> Cloud removed! ID: #63
(ENTRY #131) 2022-02-20 17:58:02.165544 >> Cloud created! ID: #64
(ENTRY #132) 2022-02-20 17:58:03.326479 >> Cloud created! ID: #65
(ENTRY #133) 2022-02-20 17:58:04.373560 >> Cloud created! ID: #66
(ENTRY #134) 2022-02-20 17:58:05.053871 >> Cloud removed! ID: #66
(ENTRY #135) 2022-02-20 17:58:05.276877 >> Cloud removed! ID: #66
(ENTRY #136) 2022-02-20 17:58:05.401874 >> Cloud created! ID: #67
(ENTRY #137) 2022-02-20 17:58:06.323574 >> Cloud removed! ID: #67
(ENTRY #138) 2022-02-20 17:58:06.420425 >> Cloud created! ID: #68
(ENTRY #139) 2022-02-20 17:58:07.474892 >> Cloud created! ID: #69
(ENTRY #140) 2022-02-20 17:58:08.500365 >> Cloud created! ID: #70
(ENTRY #141) 2022-02-20 17:58:08.501366 >> Cloud removed! ID: #70
(ENTRY #142) 2022-02-20 17:58:09.556509 >> Cloud created! ID: #71
(ENTRY #143) 2022-02-20 17:58:10.557164 >> Cloud created! ID: #72
(ENTRY #144) 2022-02-20 17:58:11.577286 >> Cloud created! ID: #73
(ENTRY #145) 2022-02-20 17:58:12.551277 >> Cloud removed! ID: #73
(ENTRY #146) 2022-02-20 17:58:12.617252 >> Cloud created! ID: #74
(ENTRY #147) 2022-02-20 17:58:13.652046 >> Cloud created! ID: #75
(ENTRY #148) 2022-02-20 17:58:14.667630 >> Cloud created! ID: #76
(ENTRY #149) 2022-02-20 17:58:15.704382 >> Cloud created! ID: #77
(ENTRY #150) 2022-02-20 17:58:15.796260 >> Cloud removed! ID: #77
(ENTRY #151) 2022-02-20 17:58:16.730863 >> Cloud created! ID: #78
(ENTRY #152) 2022-02-20 17:58:16.841305 >> Cloud removed! ID: #78
(ENTRY #153) 2022-02-20 17:58:17.770914 >> Cloud created! ID: #79
(ENTRY #154) 2022-02-20 17:58:17.833199 >> Cloud removed! ID: #79
(ENTRY #155) 2022-02-20 17:58:17.909506 >> Cloud removed! ID: #79
(ENTRY #156) 2022-02-20 17:58:18.780096 >> Cloud created! ID: #80
(ENTRY #157) 2022-02-20 17:58:18.844144 >> Cloud removed! ID: #80
(ENTRY #158) 2022-02-20 17:58:18.936372 >> Cloud removed! ID: #80
(ENTRY #159) 2022-02-20 17:58:19.802877 >> Cloud created! ID: #81
(ENTRY #160) 2022-02-20 17:58:19.978639 >> Cloud removed! ID: #81
(ENTRY #161) 2022-02-20 17:58:20.837128 >> Cloud created! ID: #82
(ENTRY #162) 2022-02-20 17:58:20.886289 >> Cloud removed! ID: #82
(ENTRY #163) 2022-02-20 17:58:21.007211 >> Cloud removed! ID: #82
(ENTRY #164) 2022-02-20 17:58:21.858448 >> Cloud created! ID: #83
(ENTRY #165) 2022-02-20 17:58:22.060865 >> Cloud removed! ID: #83
(ENTRY #166) 2022-02-20 17:58:22.874358 >> Cloud created! ID: #84
(ENTRY #167) 2022-02-20 17:58:22.910596 >> Cloud removed! ID: #84
(ENTRY #168) 2022-02-20 17:58:23.889868 >> Cloud created! ID: #85
(ENTRY #169) 2022-02-20 17:58:23.975882 >> Cloud removed! ID: #85
(ENTRY #170) 2022-02-20 17:58:24.122757 >> Cloud removed! ID: #85
(ENTRY #171) 2022-02-20 17:58:24.890069 >> Cloud created! ID: #86
(ENTRY #172) 2022-02-20 17:58:25.111706 >> Cloud removed! ID: #86
(ENTRY #173) 2022-02-20 17:58:25.921511 >> Cloud created! ID: #87
(ENTRY #174) 2022-02-20 17:58:26.967863 >> Cloud created! ID: #88
(ENTRY #175) 2022-02-20 17:58:27.041884 >> Cloud removed! ID: #88
(ENTRY #176) 2022-02-20 17:58:28.026747 >> Cloud created! ID: #89
(ENTRY #177) 2022-02-20 17:58:28.064385 >> Cloud removed! ID: #89
(ENTRY #178) 2022-02-20 17:58:28.152406 >> Cloud removed! ID: #89
(ENTRY #179) 2022-02-20 17:58:29.013946 >> Cloud removed! ID: #89
(ENTRY #180) 2022-02-20 17:58:29.037867 >> Cloud created! ID: #90
(ENTRY #181) 2022-02-20 17:58:29.064891 >> Cloud removed! ID: #90
(ENTRY #182) 2022-02-20 17:58:30.229274 >> Cloud created! ID: #91
(ENTRY #183) 2022-02-20 17:58:31.094699 >> Cloud removed! ID: #91
(ENTRY #184) 2022-02-20 17:58:31.238886 >> Cloud created! ID: #92
(ENTRY #185) 2022-02-20 17:58:32.143888 >> Cloud removed! ID: #92
(ENTRY #186) 2022-02-20 17:58:32.247373 >> Cloud removed! ID: #92
(ENTRY #187) 2022-02-20 17:58:32.271880 >> Cloud created! ID: #93
(ENTRY #188) 2022-02-20 17:58:33.389840 >> Cloud created! ID: #94
