Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-17 21:31:48.835280 >> Initialized Log handler...
(ENTRY #2) 2022-02-17 21:31:49.688278 >> Initialized Warship handler...
(ENTRY #3) 2022-02-17 21:31:49.706276 >> Initialized GUI handler...
(ENTRY #4) 2022-02-17 21:31:49.707276 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-17 21:31:49.888363 >> Created Sprite for Player!
(ENTRY #6) 2022-02-17 21:31:49.888363 >> Finished initalizingw!
(ENTRY #7) 2022-02-17 21:31:51.114888 >> Game resumed!
(ENTRY #8) 2022-02-17 21:31:56.380996 >> Cloud removed! ID: #5
(ENTRY #9) 2022-02-17 21:31:57.158552 >> Cloud removed! ID: #6
(ENTRY #10) 2022-02-17 21:32:00.312338 >> Cloud removed! ID: #9
(ENTRY #11) 2022-02-17 21:32:00.497719 >> Cloud removed! ID: #9
(ENTRY #12) 2022-02-17 21:32:01.164955 >> Cloud removed! ID: #10
(ENTRY #13) 2022-02-17 21:32:01.774167 >> Cloud removed! ID: #10
(ENTRY #14) 2022-02-17 21:32:03.329243 >> Cloud removed! ID: #12
(ENTRY #15) 2022-02-17 21:32:04.317460 >> Cloud removed! ID: #13
(ENTRY #16) 2022-02-17 21:32:04.944525 >> Cloud removed! ID: #13
(ENTRY #17) 2022-02-17 21:32:05.414232 >> Cloud removed! ID: #14
(ENTRY #18) 2022-02-17 21:32:05.702964 >> Cloud removed! ID: #14
(ENTRY #19) 2022-02-17 21:32:06.967215 >> Cloud removed! ID: #15
(ENTRY #20) 2022-02-17 21:32:07.885987 >> Cloud removed! ID: #16
(ENTRY #21) 2022-02-17 21:32:08.649838 >> Cloud removed! ID: #17
(ENTRY #22) 2022-02-17 21:32:09.006390 >> Cloud removed! ID: #17
(ENTRY #23) 2022-02-17 21:32:11.504402 >> Cloud removed! ID: #19
(ENTRY #24) 2022-02-17 21:32:12.598564 >> Cloud removed! ID: #21
(ENTRY #25) 2022-02-17 21:32:13.627172 >> Cloud removed! ID: #22
(ENTRY #26) 2022-02-17 21:32:14.601426 >> Cloud removed! ID: #22
(ENTRY #27) 2022-02-17 21:32:15.663715 >> Cloud removed! ID: #24
(ENTRY #28) 2022-02-17 21:32:16.699955 >> Cloud removed! ID: #24
(ENTRY #29) 2022-02-17 21:32:17.699045 >> Cloud removed! ID: #25
(ENTRY #30) 2022-02-17 21:32:18.245482 >> Cloud removed! ID: #26
(ENTRY #31) 2022-02-17 21:32:19.282576 >> Cloud removed! ID: #27
(ENTRY #32) 2022-02-17 21:32:20.565238 >> Naval Warfare 2D Closed...
