Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 18:06:04.995657 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 18:06:05.222655 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 18:06:05.234654 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 18:06:05.234654 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 18:06:05.431155 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 18:06:05.431155 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 18:06:06.544915 >> Game resumed!
(ENTRY #8) 2022-02-20 18:06:06.568647 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 18:06:07.730397 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 18:06:08.762660 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 18:06:09.774538 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 18:06:10.779870 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 18:06:10.899868 >> Cloud removed! ID: #5
(ENTRY #14) 2022-02-20 18:06:11.782852 >> Cloud created! ID: #6
(ENTRY #15) 2022-02-20 18:06:12.807217 >> Cloud created! ID: #7
(ENTRY #16) 2022-02-20 18:06:13.966890 >> Cloud created! ID: #8
(ENTRY #17) 2022-02-20 18:06:14.980374 >> Cloud created! ID: #9
(ENTRY #18) 2022-02-20 18:06:15.242368 >> Cloud removed! ID: #9
(ENTRY #19) 2022-02-20 18:06:15.987794 >> Cloud created! ID: #10
(ENTRY #20) 2022-02-20 18:06:16.092838 >> Cloud removed! ID: #10
(ENTRY #21) 2022-02-20 18:06:16.996868 >> Cloud created! ID: #11
(ENTRY #22) 2022-02-20 18:06:17.096601 >> Cloud removed! ID: #11
(ENTRY #23) 2022-02-20 18:06:17.204475 >> Cloud removed! ID: #11
(ENTRY #24) 2022-02-20 18:06:18.024274 >> Cloud created! ID: #12
(ENTRY #25) 2022-02-20 18:06:19.140535 >> Cloud created! ID: #13
(ENTRY #26) 2022-02-20 18:06:20.181297 >> Cloud created! ID: #14
(ENTRY #27) 2022-02-20 18:06:20.583026 >> Cloud removed! ID: #14
(ENTRY #28) 2022-02-20 18:06:21.182559 >> Cloud created! ID: #15
(ENTRY #29) 2022-02-20 18:06:21.324367 >> Cloud removed! ID: #15
(ENTRY #30) 2022-02-20 18:06:22.261874 >> Cloud removed! ID: #15
(ENTRY #31) 2022-02-20 18:06:22.313369 >> Cloud removed! ID: #15
(ENTRY #32) 2022-02-20 18:06:22.325362 >> Cloud created! ID: #16
(ENTRY #33) 2022-02-20 18:06:22.554822 >> Cloud removed! ID: #16
(ENTRY #34) 2022-02-20 18:06:23.327746 >> Cloud created! ID: #17
(ENTRY #35) 2022-02-20 18:06:24.342651 >> Cloud created! ID: #18
(ENTRY #36) 2022-02-20 18:06:25.424376 >> Cloud removed! ID: #18
(ENTRY #37) 2022-02-20 18:06:25.475703 >> Cloud created! ID: #19
(ENTRY #38) 2022-02-20 18:06:25.489224 >> Cloud removed! ID: #19
(ENTRY #39) 2022-02-20 18:06:26.513667 >> Cloud created! ID: #20
(ENTRY #40) 2022-02-20 18:06:26.565218 >> Cloud removed! ID: #20
(ENTRY #41) 2022-02-20 18:06:26.686479 >> Cloud removed! ID: #20
(ENTRY #42) 2022-02-20 18:06:27.542074 >> Cloud created! ID: #21
(ENTRY #43) 2022-02-20 18:06:28.552793 >> Cloud created! ID: #22
(ENTRY #44) 2022-02-20 18:06:29.636400 >> Cloud removed! ID: #22
(ENTRY #45) 2022-02-20 18:06:29.637400 >> Cloud removed! ID: #22
(ENTRY #46) 2022-02-20 18:06:29.661267 >> Cloud created! ID: #23
(ENTRY #47) 2022-02-20 18:06:30.608873 >> Cloud removed! ID: #23
(ENTRY #48) 2022-02-20 18:06:30.718363 >> Cloud created! ID: #24
(ENTRY #49) 2022-02-20 18:06:31.681275 >> Cloud removed! ID: #24
(ENTRY #50) 2022-02-20 18:06:31.742409 >> Cloud created! ID: #25
(ENTRY #51) 2022-02-20 18:06:32.738336 >> Cloud removed! ID: #25
(ENTRY #52) 2022-02-20 18:06:32.789383 >> Cloud created! ID: #26
(ENTRY #53) 2022-02-20 18:06:33.709365 >> Cloud removed! ID: #26
(ENTRY #54) 2022-02-20 18:06:33.757288 >> Cloud removed! ID: #26
(ENTRY #55) 2022-02-20 18:06:33.877864 >> Cloud created! ID: #27
(ENTRY #56) 2022-02-20 18:06:34.669518 >> Cloud removed! ID: #27
(ENTRY #57) 2022-02-20 18:06:34.800300 >> Cloud removed! ID: #27
(ENTRY #58) 2022-02-20 18:06:34.909899 >> Cloud created! ID: #28
(ENTRY #59) 2022-02-20 18:06:35.912608 >> Cloud created! ID: #29
(ENTRY #60) 2022-02-20 18:06:37.056770 >> Cloud created! ID: #30
(ENTRY #61) 2022-02-20 18:06:38.079011 >> Cloud created! ID: #31
(ENTRY #62) 2022-02-20 18:06:38.854065 >> Cloud removed! ID: #31
(ENTRY #63) 2022-02-20 18:06:39.184878 >> Cloud created! ID: #32
(ENTRY #64) 2022-02-20 18:06:40.055370 >> Cloud removed! ID: #32
(ENTRY #65) 2022-02-20 18:06:40.223370 >> Cloud created! ID: #33
(ENTRY #66) 2022-02-20 18:06:41.055954 >> Cloud removed! ID: #33
(ENTRY #67) 2022-02-20 18:06:41.297575 >> Cloud created! ID: #34
(ENTRY #68) 2022-02-20 18:06:42.123036 >> Naval Warfare 2D Closed...
