Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 18:06:55.393193 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 18:06:55.611192 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 18:06:55.623690 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 18:06:55.623690 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 18:06:55.837692 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 18:06:55.837692 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 18:06:56.650866 >> Game resumed!
(ENTRY #8) 2022-02-20 18:06:56.674412 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 18:06:57.791362 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 18:06:58.821883 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 18:06:59.853986 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 18:07:00.958870 >> Cloud removed! ID: #4
(ENTRY #13) 2022-02-20 18:07:01.024871 >> Cloud created! ID: #5
(ENTRY #14) 2022-02-20 18:07:02.059866 >> Cloud created! ID: #6
(ENTRY #15) 2022-02-20 18:07:02.142375 >> Cloud removed! ID: #6
(ENTRY #16) 2022-02-20 18:07:03.071917 >> Cloud created! ID: #7
(ENTRY #17) 2022-02-20 18:07:04.103019 >> Cloud created! ID: #8
(ENTRY #18) 2022-02-20 18:07:04.196356 >> Cloud removed! ID: #8
(ENTRY #19) 2022-02-20 18:07:05.105866 >> Cloud created! ID: #9
(ENTRY #20) 2022-02-20 18:07:05.334219 >> Cloud removed! ID: #9
(ENTRY #21) 2022-02-20 18:07:06.233971 >> Cloud created! ID: #10
(ENTRY #22) 2022-02-20 18:07:06.375296 >> Cloud removed! ID: #10
(ENTRY #23) 2022-02-20 18:07:07.457826 >> Cloud removed! ID: #10
(ENTRY #24) 2022-02-20 18:07:07.507825 >> Cloud created! ID: #11
(ENTRY #25) 2022-02-20 18:07:08.533395 >> Cloud created! ID: #12
(ENTRY #26) 2022-02-20 18:07:09.283912 >> Cloud removed! ID: #12
(ENTRY #27) 2022-02-20 18:07:09.414162 >> Cloud removed! ID: #12
(ENTRY #28) 2022-02-20 18:07:09.566400 >> Cloud created! ID: #13
