Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 18:14:48.012475 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 18:14:48.238049 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 18:14:48.249550 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 18:14:48.250048 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 18:14:48.456091 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 18:14:48.456091 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 18:14:48.808591 >> Game resumed!
(ENTRY #8) 2022-02-20 18:14:48.820091 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 18:14:49.931962 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 18:14:50.946412 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 18:14:52.005663 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 18:14:53.053647 >> Cloud removed! ID: #4
(ENTRY #13) 2022-02-20 18:14:53.090875 >> Cloud created! ID: #5
(ENTRY #14) 2022-02-20 18:14:54.193879 >> Cloud created! ID: #6
(ENTRY #15) 2022-02-20 18:14:55.223891 >> Cloud created! ID: #7
(ENTRY #16) 2022-02-20 18:14:56.335767 >> Cloud created! ID: #8
(ENTRY #17) 2022-02-20 18:14:57.210211 >> Cloud removed! ID: #8
(ENTRY #18) 2022-02-20 18:14:57.365252 >> Cloud created! ID: #9
(ENTRY #19) 2022-02-20 18:14:58.266894 >> Cloud removed! ID: #9
(ENTRY #20) 2022-02-20 18:14:58.450346 >> Cloud created! ID: #10
(ENTRY #21) 2022-02-20 18:14:59.342785 >> Cloud removed! ID: #10
(ENTRY #22) 2022-02-20 18:14:59.381237 >> Cloud removed! ID: #10
(ENTRY #23) 2022-02-20 18:14:59.482971 >> Cloud created! ID: #11
(ENTRY #24) 2022-02-20 18:15:00.391392 >> Cloud removed! ID: #11
(ENTRY #25) 2022-02-20 18:15:00.500556 >> Cloud created! ID: #12
(ENTRY #26) 2022-02-20 18:15:01.480254 >> Cloud removed! ID: #12
(ENTRY #27) 2022-02-20 18:15:01.516768 >> Cloud created! ID: #13
(ENTRY #28) 2022-02-20 18:15:02.425540 >> Cloud removed! ID: #13
(ENTRY #29) 2022-02-20 18:15:02.536648 >> Cloud created! ID: #14
(ENTRY #30) 2022-02-20 18:15:02.550396 >> Cloud removed! ID: #14
(ENTRY #31) 2022-02-20 18:15:03.541613 >> Cloud created! ID: #15
(ENTRY #32) 2022-02-20 18:15:03.591362 >> Cloud removed! ID: #15
