Log for Naval Warfare 2D, intended for debugging purposes only! 

(ENTRY #1) 2022-02-20 16:07:16.517269 >> Initialized Log handler...
(ENTRY #2) 2022-02-20 16:07:17.219365 >> Initialized Warship handler...
(ENTRY #3) 2022-02-20 16:07:17.231364 >> Initialized GUI handler...
(ENTRY #4) 2022-02-20 16:07:17.231364 >> Starting Naval Warfare 2D...
(ENTRY #5) 2022-02-20 16:07:17.584865 >> Created Sprite for Player!
(ENTRY #6) 2022-02-20 16:07:17.584865 >> Finished initalizingw!
(ENTRY #7) 2022-02-20 16:07:18.235776 >> Game resumed!
(ENTRY #8) 2022-02-20 16:07:18.247775 >> Cloud created! ID: #1
(ENTRY #9) 2022-02-20 16:07:19.276385 >> Cloud created! ID: #2
(ENTRY #10) 2022-02-20 16:07:20.320880 >> Cloud created! ID: #3
(ENTRY #11) 2022-02-20 16:07:21.528861 >> Cloud created! ID: #4
(ENTRY #12) 2022-02-20 16:07:22.539391 >> Cloud created! ID: #5
(ENTRY #13) 2022-02-20 16:07:23.550520 >> Cloud created! ID: #6
(ENTRY #14) 2022-02-20 16:07:24.272348 >> Cloud removed! ID: #6
(ENTRY #15) 2022-02-20 16:07:24.644363 >> Cloud created! ID: #7
(ENTRY #16) 2022-02-20 16:07:25.279632 >> Cloud removed! ID: #7
(ENTRY #17) 2022-02-20 16:07:25.533618 >> Cloud removed! ID: #7
(ENTRY #18) 2022-02-20 16:07:25.677271 >> Cloud created! ID: #8
(ENTRY #19) 2022-02-20 16:07:26.736876 >> Cloud created! ID: #9
(ENTRY #20) 2022-02-20 16:07:27.796375 >> Cloud created! ID: #10
(ENTRY #21) 2022-02-20 16:07:28.843289 >> Cloud created! ID: #11
(ENTRY #22) 2022-02-20 16:07:29.553876 >> Cloud removed! ID: #11
(ENTRY #23) 2022-02-20 16:07:29.858873 >> Cloud created! ID: #12
(ENTRY #24) 2022-02-20 16:07:30.654388 >> Cloud removed! ID: #12
(ENTRY #25) 2022-02-20 16:07:30.882361 >> Cloud created! ID: #13
(ENTRY #26) 2022-02-20 16:07:31.685374 >> Cloud removed! ID: #13
(ENTRY #27) 2022-02-20 16:07:31.937866 >> Cloud created! ID: #14
(ENTRY #28) 2022-02-20 16:07:32.347602 >> Cloud removed! ID: #14
(ENTRY #29) 2022-02-20 16:07:32.744869 >> Cloud removed! ID: #14
(ENTRY #30) 2022-02-20 16:07:32.949351 >> Cloud created! ID: #15
(ENTRY #31) 2022-02-20 16:07:33.801042 >> Cloud removed! ID: #15
(ENTRY #32) 2022-02-20 16:07:34.088873 >> Cloud created! ID: #16
(ENTRY #33) 2022-02-20 16:07:34.559126 >> Cloud removed! ID: #16
(ENTRY #34) 2022-02-20 16:07:34.845860 >> Cloud removed! ID: #16
(ENTRY #35) 2022-02-20 16:07:35.158391 >> Cloud created! ID: #17
(ENTRY #36) 2022-02-20 16:07:36.160171 >> Cloud created! ID: #18
(ENTRY #37) 2022-02-20 16:07:36.883373 >> Cloud removed! ID: #18
(ENTRY #38) 2022-02-20 16:07:36.956374 >> Cloud removed! ID: #18
(ENTRY #39) 2022-02-20 16:07:37.198641 >> Cloud created! ID: #19
(ENTRY #40) 2022-02-20 16:07:37.960366 >> Cloud removed! ID: #19
(ENTRY #41) 2022-02-20 16:07:38.288393 >> Cloud created! ID: #20
(ENTRY #42) 2022-02-20 16:07:39.293662 >> Cloud created! ID: #21
(ENTRY #43) 2022-02-20 16:07:40.379374 >> Cloud created! ID: #22
(ENTRY #44) 2022-02-20 16:07:41.407860 >> Cloud created! ID: #23
(ENTRY #45) 2022-02-20 16:07:41.409863 >> Cloud removed! ID: #23
(ENTRY #46) 2022-02-20 16:07:41.448378 >> Cloud removed! ID: #23
(ENTRY #47) 2022-02-20 16:07:42.173076 >> Cloud removed! ID: #23
(ENTRY #48) 2022-02-20 16:07:42.461871 >> Cloud created! ID: #24
(ENTRY #49) 2022-02-20 16:07:42.545643 >> Cloud removed! ID: #24
(ENTRY #50) 2022-02-20 16:07:43.527377 >> Cloud removed! ID: #24
(ENTRY #51) 2022-02-20 16:07:43.539730 >> Cloud created! ID: #25
(ENTRY #52) 2022-02-20 16:07:44.570875 >> Cloud created! ID: #26
(ENTRY #53) 2022-02-20 16:07:45.630718 >> Cloud created! ID: #27
(ENTRY #54) 2022-02-20 16:07:46.576863 >> Cloud removed! ID: #27
(ENTRY #55) 2022-02-20 16:07:46.661385 >> Cloud created! ID: #28
(ENTRY #56) 2022-02-20 16:07:46.685702 >> Cloud removed! ID: #28
(ENTRY #57) 2022-02-20 16:07:47.721074 >> Cloud created! ID: #29
(ENTRY #58) 2022-02-20 16:07:48.742540 >> Cloud removed! ID: #29
(ENTRY #59) 2022-02-20 16:07:48.779863 >> Cloud created! ID: #30
(ENTRY #60) 2022-02-20 16:07:49.792765 >> Cloud created! ID: #31
(ENTRY #61) 2022-02-20 16:07:49.859381 >> Cloud removed! ID: #31
(ENTRY #62) 2022-02-20 16:07:50.885363 >> Cloud created! ID: #32
(ENTRY #63) 2022-02-20 16:07:51.966793 >> Cloud removed! ID: #32
(ENTRY #64) 2022-02-20 16:07:51.978372 >> Cloud created! ID: #33
(ENTRY #65) 2022-02-20 16:07:52.950848 >> Cloud removed! ID: #33
(ENTRY #66) 2022-02-20 16:07:52.975248 >> Cloud removed! ID: #33
(ENTRY #67) 2022-02-20 16:07:52.986880 >> Cloud created! ID: #34
(ENTRY #68) 2022-02-20 16:07:53.949864 >> Cloud removed! ID: #34
(ENTRY #69) 2022-02-20 16:07:53.999215 >> Cloud removed! ID: #34
(ENTRY #70) 2022-02-20 16:07:54.047302 >> Cloud created! ID: #35
(ENTRY #71) 2022-02-20 16:07:54.965210 >> Cloud removed! ID: #35
(ENTRY #72) 2022-02-20 16:07:54.989378 >> Cloud removed! ID: #35
(ENTRY #73) 2022-02-20 16:07:55.597364 >> Cloud created! ID: #36
(ENTRY #74) 2022-02-20 16:07:56.625364 >> Cloud created! ID: #37
(ENTRY #75) 2022-02-20 16:07:57.009883 >> Cloud removed! ID: #37
(ENTRY #76) 2022-02-20 16:07:57.632374 >> Cloud created! ID: #38
(ENTRY #77) 2022-02-20 16:07:58.100873 >> Cloud removed! ID: #38
(ENTRY #78) 2022-02-20 16:07:58.633789 >> Cloud created! ID: #39
(ENTRY #79) 2022-02-20 16:07:59.179368 >> Cloud removed! ID: #39
(ENTRY #80) 2022-02-20 16:07:59.670774 >> Cloud created! ID: #40
(ENTRY #81) 2022-02-20 16:08:00.285874 >> Cloud removed! ID: #40
(ENTRY #82) 2022-02-20 16:08:00.683476 >> Cloud created! ID: #41
(ENTRY #83) 2022-02-20 16:08:01.686875 >> Cloud created! ID: #42
(ENTRY #84) 2022-02-20 16:08:01.878855 >> Cloud removed! ID: #42
(ENTRY #85) 2022-02-20 16:08:02.262372 >> Cloud removed! ID: #42
(ENTRY #86) 2022-02-20 16:08:02.720373 >> Cloud created! ID: #43
(ENTRY #87) 2022-02-20 16:08:02.863372 >> Cloud removed! ID: #43
(ENTRY #88) 2022-02-20 16:08:02.965377 >> Cloud removed! ID: #43
(ENTRY #89) 2022-02-20 16:08:03.866905 >> Cloud created! ID: #44
(ENTRY #90) 2022-02-20 16:08:04.870378 >> Cloud created! ID: #45
(ENTRY #91) 2022-02-20 16:08:04.966598 >> Cloud removed! ID: #45
(ENTRY #92) 2022-02-20 16:08:05.991872 >> Cloud created! ID: #46
(ENTRY #93) 2022-02-20 16:08:06.020393 >> Cloud removed! ID: #46
(ENTRY #94) 2022-02-20 16:08:06.087024 >> Cloud removed! ID: #46
(ENTRY #95) 2022-02-20 16:08:06.993369 >> Cloud created! ID: #47
(ENTRY #96) 2022-02-20 16:08:07.088262 >> Cloud removed! ID: #47
(ENTRY #97) 2022-02-20 16:08:08.016374 >> Cloud created! ID: #48
(ENTRY #98) 2022-02-20 16:08:08.233376 >> Cloud removed! ID: #48
(ENTRY #99) 2022-02-20 16:08:08.386870 >> Cloud removed! ID: #48
(ENTRY #100) 2022-02-20 16:08:09.090865 >> Cloud created! ID: #49
(ENTRY #101) 2022-02-20 16:08:10.283909 >> Cloud created! ID: #50
(ENTRY #102) 2022-02-20 16:08:11.334375 >> Cloud created! ID: #51
(ENTRY #103) 2022-02-20 16:08:12.334858 >> Cloud created! ID: #52
(ENTRY #104) 2022-02-20 16:08:12.364940 >> Cloud removed! ID: #52
(ENTRY #105) 2022-02-20 16:08:13.342761 >> Cloud created! ID: #53
(ENTRY #106) 2022-02-20 16:08:13.828396 >> Naval Warfare 2D Closed...
